10,16,7,10
20,111,19,20
30,249,27,30
40,413,35,40
50,635,46,50
60,863,57,60
70,1349,67,70
80,1528,72,80
90,2122,85,90
100,2576,96,100
110,2799,105,110
120,3575,118,120
130,4060,126,130
140,4898,134,140
150,5889,143,150
160,6970,152,160
170,7058,162,170
180,7815,175,180
190,8867,186,190
200,10025,197,200
210,11034,202,210
220,11794,216,220
230,13432,225,230
240,13079,233,240
250,15215,239,250
260,16573,247,260
270,17828,267,270
280,19893,267,280
290,19928,283,290
300,23070,292,300
310,23494,304,310
320,25261,312,320
330,26200,322,330
340,28613,332,340
350,31128,345,350
360,34195,354,360
370,36327,360,370
380,35155,375,380
390,37265,383,390
400,37328,394,400
410,42059,404,410
420,43873,416,420
430,43436,427,430
440,46868,436,440
450,48183,444,450
460,54258,454,460
470,53872,463,470
480,58634,476,480
490,58777,485,490
500,61472,487,500
510,64546,498,510
520,69048,513,520
530,68259,526,530
540,69489,535,540
550,73537,538,550
560,78833,550,560
570,82516,560,570
580,82293,573,580
590,89516,585,590
600,92845,592,600
610,95393,605,610
620,95929,615,620
630,98152,622,630
640,104010,634,640
650,103263,640,650
660,110021,655,660
670,108954,664,670
680,113670,675,680
690,115351,680,690
700,124317,691,700
710,126609,701,710
720,127106,713,720
730,132934,725,730
740,136159,729,740
750,138164,742,750
760,150097,755,760
770,154302,760,770
780,142701,769,780
790,159547,782,790
800,157451,787,800
810,163340,800,810
820,173883,815,820
830,178396,821,830
840,181696,830,840
850,173424,843,850
860,178989,852,860
870,186695,858,870
880,195278,872,880
890,195713,883,890
900,201000,895,900
910,206552,907,910
920,208511,909,920
930,210483,918,930
940,219378,930,940
950,226379,941,950
960,223705,954,960
970,234832,956,970
980,247535,968,980
990,255003,981,990
1000,248451,993,1000
1010,256808,1005,1010
1020,259598,1006,1020
1030,261216,1022,1030
1040,259769,1030,1040
1050,272308,1041,1050
1060,286518,1049,1060
1070,291514,1064,1070
1080,286215,1070,1080
1090,294643,1080,1090
1100,297104,1094,1100
1110,308461,1103,1110
1120,316355,1111,1120
1130,324295,1116,1130
1140,332722,1133,1140
1150,334378,1140,1150
1160,338389,1154,1160
1170,346791,1163,1170
1180,341639,1172,1180
1190,355440,1181,1190
1200,379328,1194,1200
1210,359967,1203,1210
1220,373656,1207,1220
1230,377265,1223,1230
1240,386987,1231,1240
1250,392124,1243,1250
1260,395096,1251,1260
